country,1999,2000,2001
Afghanistan,19987071,20595360,21347782
Albania,3317941,3304948,3286084
Algeria,31276295,31719449,32150198
American Samoa,NA,57522,58176
Andorra,64084,65399,68000
Angola,13510616,13924930,14385283
Antigua and Barbuda,NA,77648,78972
Argentina,36514558,36903067,37273361
Armenia,3093820,3076098,3059960
Australia,19027438,19259377,19487257
Austria,8007843,8020262,8049440
Azerbaijan,8047936,8117742,8195427
Bahamas,293442,297759,NA
Bahrain,640913,668239,698749
Bangladesh,129966823,132383265,134729503
Barbados,NA,267190,268296
Belarus,NA,NA,9920173
Belgium,10242449,10268380,10300775
Belize,NA,238586,245198
Benin,6740491,6949366,7174911
Bhutan,548599,564350,580888
Bolivia (Plurinational State of),8322408,8495271,8669066
Bosnia and Herzegovina,3752004,3834364,3879353
Botswana,1724924,1755375,1783349
Brazil,172006362,174504898,176968205
British Virgin Islands,NA,20643,NA
Brunei Darussalam,324501,331801,NA
Bulgaria,NA,8000510,7934973
Burkina Faso,11281942,11607944,11946080
Burundi,6545273,NA,6839376
Cabo Verde,NA,NA,450812
Cambodia,11960467,12222871,12472586
Cameroon,15513653,15927713,16350440
Canada,30415664,30697425,30986788
Cayman Islands,39810,41685,43317
Central African Republic,3569523,NA,3704045
Chad,8002899,NA,NA
Chile,15265536,15454402,15639289
China,1272915272,1280428583,1287890449
"China, Hong Kong SAR",6732627,6835301,6892752
"China, Macao SAR",NA,431907,438080
Colombia,39234115,39897984,40558648
Comoros,NA,528312,541976
Congo,3044444,NA,3205636
Cook Islands,NA,17826,18003
Costa Rica,3841734,3929588,4013488
Croatia,4511766,NA,4446789
Cuba,11101580,11138416,11175465
Cyprus,925491,NA,NA
Czech Republic,10270096,10250398,10231435
Democratic People's Republic of Korea,22641754,22840225,23043449
Democratic Republic of the Congo,45889100,46949244,48167045
Denmark,5319410,5338283,5354684
Djibouti,711652,722887,733732
Dominican Republic,8527881,8663421,NA
Ecuador,NA,NA,12780869
Egypt,65097777,66136590,67204189
El Salvador,5928809,5958794,5985299
Eritrea,3795384,3939348,4101609
